Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Phoenix Suns,Detroit Pistons,0.19,0.405,0.295,0.786,43.2,21.6,15.4,8.3,4.8,-9.7,99.8,109.3,0.51,0.857,0.481,0.364,0.786,44.6,26.0,13.3,9.0,4.0,7.5,110.7,103.5,0.577,1,12/02/2021
Portland Trail Blazers,San Antonio Spurs,0.316,0.466,0.342,0.687,44.3,27.2,13.0,8.4,5.1,-1.8,106.4,107.8,0.538,0.5,0.458,0.355,0.79,45.3,23.9,13.5,8.0,4.7,0.3,111.6,111.7,0.567,0,12/02/2021
Atlanta Hawks,Philadelphia 76ers,0.5,0.455,0.356,0.815,44.0,23.2,12.7,8.3,6.2,1.0,109.7,108.3,0.559,0.545,0.466,0.374,0.799,47.0,24.2,12.3,6.9,4.5,2.7,112.4,109.7,0.565,0,12/03/2021
Dallas Mavericks,New Orleans Pelicans,0.25,0.43,0.338,0.819,46.4,24.3,15.6,7.8,4.0,-7.7,105.1,112.3,0.53,0.55,0.45,0.341,0.731,44.4,23.5,12.3,7.7,4.4,-0.7,108.6,109.4,0.55,0,12/03/2021
Los Angeles Lakers,LA Clippers,0.5,0.446,0.348,0.802,44.9,22.7,15.1,8.0,4.4,1.0,105.2,104.5,0.552,0.522,0.462,0.348,0.74,44.2,23.1,15.2,8.2,5.7,-1.5,106.2,107.9,0.556,0,12/03/2021
Washington Wizards,Cleveland Cavaliers,0.545,0.453,0.344,0.777,46.1,24.8,16.6,7.5,4.3,2.2,106.6,104.1,0.556,0.636,0.461,0.322,0.781,47.0,24.1,14.4,6.3,5.5,0.5,107.1,106.6,0.556,0,12/03/2021
Indiana Pacers,Miami Heat,0.591,0.458,0.346,0.804,46.1,24.8,14.7,7.8,2.5,4.2,110.1,106.2,0.565,0.375,0.456,0.329,0.769,46.3,23.9,14.5,7.0,6.2,1.0,107.8,107.1,0.551,0,12/03/2021
Golden State Warriors,Phoenix Suns,0.864,0.484,0.37,0.782,44.7,25.9,13.3,9.0,4.0,7.7,111.0,103.6,0.579,0.857,0.476,0.367,0.768,46.9,28.9,16.3,9.8,4.8,12.5,112.4,99.8,0.592,1,12/03/2021
Brooklyn Nets,Minnesota Timberwolves,0.5,0.429,0.332,0.768,45.3,23.0,15.8,8.8,6.1,1.1,106.6,105.5,0.537,0.714,0.468,0.372,0.81,44.3,25.4,14.1,6.9,5.4,4.0,109.5,105.5,0.58,1,12/03/2021
Houston Rockets,Orlando Magic,0.217,0.417,0.319,0.747,45.3,22.0,15.2,6.8,4.9,-10.3,101.0,111.1,0.517,0.238,0.437,0.332,0.697,44.2,21.4,18.0,7.0,4.9,-7.7,100.8,108.3,0.539,1,12/03/2021
