Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Brooklyn Nets,Utah Jazz,0022101075,114,0.521,0.473,0.358,0.8,44.5,25.3,14.0,7.1,5.3,0.3,112.7,112.3,0.573,106,0.634,0.472,0.365,0.776,47.5,22.9,14.5,7.3,5.1,6.9,116.3,109.4,0.592,1,03/21/2022
Detroit Pistons,Portland Trail Blazers,0022101073,115,0.268,0.428,0.327,0.775,43.3,23.2,14.4,7.6,4.8,-8.5,104.8,113.2,0.53,119,0.371,0.445,0.35,0.759,43.8,22.9,14.3,7.7,4.5,-7.0,108.3,115.5,0.554,0,03/21/2022
Chicago Bulls,Toronto Raptors,0022101076,113,0.586,0.481,0.372,0.816,43.0,24.2,13.0,7.2,4.3,0.8,112.7,112.1,0.581,99,0.563,0.443,0.351,0.752,46.5,22.3,12.9,9.2,4.7,1.6,111.5,110.0,0.54,1,03/21/2022
Houston Rockets,Washington Wizards,0022101077,115,0.239,0.454,0.346,0.709,41.4,23.0,16.4,7.2,4.5,-9.4,107.2,116.5,0.562,97,0.429,0.469,0.341,0.784,43.8,25.0,13.4,6.5,5.0,-3.1,110.2,113.2,0.567,1,03/21/2022
Oklahoma City Thunder,Boston Celtics,0022101078,123,0.282,0.424,0.315,0.762,45.9,21.8,13.8,7.8,4.7,-7.9,102.9,110.8,0.524,132,0.611,0.459,0.348,0.816,47.1,24.6,13.9,7.3,6.0,6.5,112.0,105.5,0.57,0,03/21/2022
Dallas Mavericks,Minnesota Timberwolves,0022101079,110,0.606,0.456,0.345,0.766,44.9,24.1,13.1,7.2,4.3,2.6,111.2,108.5,0.563,108,0.583,0.455,0.356,0.776,43.9,25.1,14.2,8.7,5.6,3.5,113.4,109.8,0.571,1,03/21/2022
Orlando Magic,Golden State Warriors,0022101080,94,0.264,0.434,0.33,0.79,44.1,23.4,14.6,6.8,4.5,-7.8,104.0,111.9,0.538,90,0.662,0.469,0.361,0.763,45.9,27.5,15.0,9.2,4.7,6.1,112.1,106.2,0.581,1,03/22/2022
New York Knicks,Atlanta Hawks,0022101081,111,0.423,0.435,0.355,0.749,47.7,22.2,13.9,7.1,5.0,-0.8,109.0,110.1,0.547,117,0.493,0.467,0.37,0.811,44.5,24.8,12.1,7.1,4.4,0.8,114.5,113.7,0.576,0,03/22/2022
Milwaukee Bucks,Chicago Bulls,0022101082,126,0.62,0.464,0.368,0.775,46.4,23.4,13.3,7.6,3.9,3.6,113.9,110.4,0.579,98,0.592,0.481,0.372,0.812,43.1,24.3,12.9,7.2,4.3,1.0,112.8,112.1,0.58,1,03/22/2022
Denver Nuggets,LA Clippers,0022101083,127,0.583,0.477,0.351,0.79,44.7,27.8,14.6,7.3,3.8,2.5,112.8,110.4,0.584,115,0.493,0.453,0.365,0.788,44.6,23.9,14.1,7.6,4.9,-1.2,107.8,109.1,0.557,1,03/22/2022
Charlotte Hornets,New York Knicks,0022101084,106,0.514,0.463,0.363,0.74,44.0,27.1,13.0,8.5,4.9,0.4,112.8,112.4,0.567,121,0.417,0.436,0.356,0.746,47.7,22.1,13.9,7.2,5.0,-0.9,109.1,110.3,0.547,0,03/23/2022
Detroit Pistons,Atlanta Hawks,0022101085,122,0.264,0.428,0.326,0.776,43.4,23.2,14.5,7.6,4.8,-8.4,104.9,113.3,0.53,101,0.5,0.468,0.371,0.811,44.5,24.8,12.1,7.1,4.5,0.9,114.6,113.7,0.577,1,03/23/2022
Boston Celtics,Utah Jazz,0022101087,125,0.616,0.46,0.349,0.817,47.0,24.6,13.8,7.3,6.1,6.5,112.2,105.8,0.571,97,0.625,0.472,0.365,0.777,47.3,22.9,14.5,7.3,5.1,6.7,116.2,109.5,0.592,1,03/23/2022
Indiana Pacers,Sacramento Kings,0022101086,109,0.347,0.462,0.341,0.762,45.0,25.1,14.6,6.9,5.6,-2.2,111.4,113.7,0.561,110,0.342,0.458,0.345,0.769,42.9,23.5,14.0,7.2,4.4,-5.3,109.7,114.8,0.56,0,03/23/2022
Minnesota Timberwolves,Phoenix Suns,0022101090,116,0.575,0.454,0.356,0.777,43.9,25.0,14.2,8.7,5.6,3.4,113.4,109.8,0.57,125,0.806,0.486,0.367,0.801,45.4,27.2,12.9,8.5,4.4,8.4,114.5,106.1,0.583,0,03/23/2022
Memphis Grizzlies,Brooklyn Nets,0022101089,132,0.681,0.46,0.344,0.732,49.0,25.2,13.1,9.8,6.5,5.3,113.6,108.7,0.55,120,0.528,0.474,0.358,0.8,44.5,25.4,14.0,7.0,5.3,0.4,112.8,112.3,0.574,1,03/23/2022
Miami Heat,Golden State Warriors,0022101088,104,0.653,0.462,0.373,0.813,45.4,26.2,14.9,7.6,3.4,4.7,112.2,107.6,0.578,118,0.653,0.468,0.361,0.762,46.0,27.4,15.0,9.2,4.7,6.0,111.9,106.1,0.58,0,03/23/2022
Oklahoma City Thunder,Orlando Magic,0022101091,118,0.278,0.426,0.317,0.762,45.9,21.9,13.8,7.7,4.6,-7.9,103.2,111.1,0.525,102,0.274,0.434,0.329,0.79,44.1,23.4,14.6,6.8,4.6,-7.7,104.0,111.7,0.538,1,03/23/2022
Dallas Mavericks,Houston Rockets,0022101092,110,0.611,0.456,0.344,0.766,44.9,24.1,13.1,7.1,4.3,2.6,111.2,108.5,0.564,91,0.25,0.454,0.348,0.71,41.4,23.1,16.4,7.1,4.5,-9.1,107.4,116.3,0.563,1,03/23/2022
Portland Trail Blazers,San Antonio Spurs,0022101094,96,0.38,0.445,0.349,0.759,43.9,22.9,14.2,7.8,4.5,-6.9,108.4,115.4,0.554,133,0.389,0.465,0.35,0.745,44.6,27.6,12.6,7.5,4.9,-1.0,111.2,112.0,0.552,0,03/23/2022
Los Angeles Lakers,Philadelphia 76ers,0022101093,121,0.431,0.467,0.35,0.729,43.2,23.7,14.4,7.7,5.3,-2.6,109.4,111.9,0.564,126,0.62,0.461,0.359,0.82,43.5,23.8,12.8,7.8,5.5,2.0,111.9,109.6,0.572,0,03/23/2022
Toronto Raptors,Cleveland Cavaliers,0022101095,117,0.556,0.442,0.349,0.753,46.6,22.4,12.9,9.1,4.8,1.4,111.4,110.2,0.54,104,0.569,0.468,0.352,0.76,45.8,26.0,15.1,7.3,4.4,2.9,110.6,107.8,0.569,1,03/24/2022
Memphis Grizzlies,Indiana Pacers,0022101096,133,0.685,0.46,0.346,0.734,48.9,25.3,13.1,9.7,6.5,5.4,113.9,108.8,0.55,103,0.342,0.462,0.342,0.764,45.0,25.2,14.6,6.9,5.6,-2.2,111.4,113.6,0.561,1,03/24/2022
Milwaukee Bucks,Washington Wizards,0022101097,114,0.625,0.466,0.369,0.774,46.5,23.5,13.3,7.5,4.0,3.9,114.1,110.2,0.58,102,0.423,0.468,0.339,0.785,43.9,25.0,13.4,6.5,5.1,-3.4,110.0,113.3,0.566,1,03/24/2022
New Orleans Pelicans,Chicago Bulls,0022101098,126,0.417,0.455,0.332,0.785,46.4,25.4,14.5,8.2,4.1,-1.3,110.3,111.3,0.554,109,0.583,0.48,0.372,0.81,42.9,24.3,12.9,7.2,4.3,0.6,112.6,112.3,0.579,1,03/24/2022
