Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Memphis Grizzlies,Golden State Warriors,0021700033,111,1.0,0.424,0.31,0.571,46.4,19.6,12.4,9.3,8.2,12.4,106.2,95.8,0.494,101,0.5,0.526,0.486,0.854,42.3,29.6,16.4,5.2,8.0,3.3,116.9,114.2,0.659,1,10/21/2017
Los Angeles Lakers,New Orleans Pelicans,0021700040,112,0.5,0.462,0.381,0.679,41.8,19.1,16.9,7.1,4.4,-6.2,99.6,105.3,0.537,119,0.0,0.424,0.377,0.745,49.0,19.9,18.0,5.8,7.8,-9.7,102.4,110.5,0.529,0,10/22/2017
Brooklyn Nets,Atlanta Hawks,0021700038,116,0.5,0.489,0.368,0.806,40.8,19.7,17.0,9.0,3.6,-1.8,115.2,116.5,0.596,104,0.5,0.444,0.333,0.828,43.3,19.2,12.8,10.8,4.9,-5.9,102.5,107.8,0.515,1,10/22/2017
Oklahoma City Thunder,Minnesota Timberwolves,0021700039,113,0.5,0.423,0.31,0.683,41.1,21.4,19.3,14.6,5.7,6.3,100.0,94.2,0.516,115,0.5,0.44,0.366,0.776,45.3,21.1,15.3,9.5,3.2,-2.6,104.7,105.7,0.53,0,10/22/2017
San Antonio Spurs,Toronto Raptors,0021700046,101,1.0,0.434,0.273,0.771,53.4,24.6,11.5,8.4,7.3,9.4,101.6,92.6,0.491,97,1.0,0.471,0.356,0.877,47.4,23.2,14.2,7.1,6.6,24.2,116.1,92.4,0.611,1,10/23/2017
Phoenix Suns,Sacramento Kings,0021700048,117,0.0,0.397,0.338,0.713,36.7,14.2,17.0,7.7,6.2,-28.4,90.7,118.4,0.501,115,0.333,0.423,0.382,0.722,48.4,18.9,16.5,6.7,3.5,-6.0,95.4,102.1,0.493,1,10/23/2017
Houston Rockets,Memphis Grizzlies,0021700043,90,1.0,0.454,0.286,0.829,47.2,21.4,14.7,9.4,4.0,7.4,111.7,104.0,0.57,98,1.0,0.444,0.339,0.692,43.1,19.8,13.2,8.6,6.1,11.2,108.6,98.0,0.541,0,10/23/2017
Miami Heat,Atlanta Hawks,0021700042,104,0.5,0.473,0.344,0.677,43.8,25.1,13.3,5.9,7.4,-1.5,108.9,111.4,0.548,93,0.333,0.41,0.307,0.877,44.0,19.4,13.6,9.1,3.9,-7.8,101.0,108.0,0.501,1,10/23/2017
Detroit Pistons,Philadelphia 76ers,0021700041,86,0.667,0.467,0.354,0.851,41.6,21.6,13.9,10.5,2.0,4.1,109.5,105.1,0.55,97,0.0,0.412,0.363,0.676,43.5,20.1,17.3,5.8,4.5,-15.7,96.2,110.4,0.505,0,10/23/2017
Milwaukee Bucks,Charlotte Hornets,0021700044,103,0.667,0.496,0.338,0.792,37.7,21.9,15.1,8.2,4.8,-2.7,108.9,110.1,0.59,94,0.5,0.415,0.303,0.797,51.5,16.3,18.8,4.5,3.5,3.0,98.5,96.5,0.538,1,10/23/2017
Dallas Mavericks,Golden State Warriors,0021700045,103,0.0,0.408,0.376,0.778,40.5,22.3,14.4,6.5,3.8,-9.3,99.7,108.2,0.532,133,0.333,0.482,0.426,0.853,43.3,26.4,16.6,6.7,7.6,-1.0,111.5,113.1,0.614,0,10/23/2017
Denver Nuggets,Washington Wizards,0021700047,104,0.5,0.451,0.404,0.719,50.5,24.2,19.5,5.8,2.6,3.7,101.1,97.4,0.545,109,1.0,0.477,0.308,0.808,42.4,21.9,12.9,9.5,8.1,4.3,111.9,108.1,0.576,0,10/23/2017
Boston Celtics,New York Knicks,0021700051,110,0.333,0.418,0.326,0.667,48.0,21.0,15.3,9.0,3.7,-0.3,100.3,102.0,0.506,89,0.0,0.431,0.278,0.76,41.2,20.1,20.6,7.2,3.1,-12.9,98.5,111.3,0.525,1,10/24/2017
LA Clippers,Utah Jazz,0021700054,102,1.0,0.462,0.407,0.791,52.6,23.2,12.8,11.4,2.4,27.5,112.8,86.1,0.556,84,0.667,0.494,0.36,0.851,40.2,25.5,18.5,10.5,5.9,5.6,104.5,99.6,0.585,1,10/24/2017
Orlando Magic,Brooklyn Nets,0021700050,125,0.667,0.476,0.483,0.813,45.2,25.8,15.8,7.7,5.8,7.4,113.2,105.1,0.591,121,0.667,0.484,0.381,0.762,43.0,21.5,17.0,9.7,4.8,2.4,113.0,110.6,0.588,1,10/24/2017
Cleveland Cavaliers,Chicago Bulls,0021700049,119,0.667,0.46,0.315,0.841,47.1,20.1,17.4,5.1,4.8,0.3,106.1,106.2,0.555,112,0.0,0.398,0.3,0.852,44.4,20.4,19.9,5.1,3.6,-13.8,90.3,104.1,0.484,1,10/24/2017
Portland Trail Blazers,New Orleans Pelicans,0021700053,103,0.667,0.466,0.479,0.825,50.3,19.8,14.4,7.7,6.4,21.1,116.8,96.0,0.578,93,0.333,0.469,0.355,0.736,45.7,21.4,17.6,8.3,6.7,-4.2,105.4,108.9,0.566,1,10/24/2017
Minnesota Timberwolves,Indiana Pacers,0021700052,107,0.667,0.46,0.379,0.792,44.9,22.3,16.1,7.9,2.4,-1.0,107.5,107.8,0.553,130,0.333,0.475,0.282,0.721,41.9,19.8,11.5,7.0,5.4,-4.2,109.9,114.8,0.548,0,10/24/2017
Philadelphia 76ers,Houston Rockets,0021700057,104,0.25,0.424,0.365,0.695,45.0,21.4,18.2,7.1,3.4,-9.2,96.8,104.8,0.518,105,0.75,0.445,0.275,0.806,45.9,22.7,15.6,8.4,3.6,3.6,108.2,104.3,0.558,0,10/25/2017
Golden State Warriors,Toronto Raptors,0021700063,117,0.5,0.501,0.415,0.851,44.6,27.8,16.3,6.5,7.7,6.5,115.8,109.9,0.632,112,0.667,0.456,0.327,0.854,43.1,21.2,14.5,8.4,5.8,15.1,110.0,95.2,0.587,1,10/25/2017
Los Angeles Lakers,Washington Wizards,0021700064,102,0.333,0.471,0.362,0.697,39.9,21.1,16.6,6.9,4.8,-6.3,101.5,107.2,0.546,99,1.0,0.465,0.304,0.842,40.7,22.4,13.5,10.6,6.4,4.5,110.3,106.1,0.572,1,10/25/2017
Phoenix Suns,Utah Jazz,0021700062,97,0.25,0.432,0.336,0.744,38.3,15.4,17.5,7.2,5.8,-21.0,96.0,116.5,0.538,88,0.5,0.478,0.33,0.845,40.8,24.3,18.6,9.7,6.3,-0.5,100.3,101.6,0.564,1,10/25/2017
