H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.5,0.466,0.361,0.793,43.9,21.1,16.3,9.2,4.6,0.9,113.6,112.6,0.577,0.75,0.474,0.351,0.824,45.6,22.4,15.5,5.2,4.4,2.1,110.8,109.0,0.576,1,0.2,0.2,1509.2740639809394,1503.568112031587
0.25,0.432,0.336,0.744,38.3,15.4,17.5,7.2,5.8,-21.0,96.0,116.5,0.538,0.5,0.478,0.33,0.845,40.8,24.3,18.6,9.7,6.3,-0.5,100.3,101.6,0.564,1,0.1,0.1,1476.5313691050235,1492.1745704327493
0.333,0.471,0.362,0.697,39.9,21.1,16.6,6.9,4.8,-6.3,101.5,107.2,0.546,1.0,0.465,0.304,0.842,40.7,22.4,13.5,10.6,6.4,4.5,110.3,106.1,0.572,1,0.1,0.2,1495.1927357521354,1513.6885296782991
0.5,0.501,0.415,0.851,44.6,27.8,16.3,6.5,7.7,6.5,115.8,109.9,0.632,0.667,0.456,0.327,0.854,43.1,21.2,14.5,8.4,5.8,15.1,110.0,95.2,0.587,1,0.2,0.1,1526.5464449068872,1513.0535802005893
0.25,0.424,0.365,0.695,45.0,21.4,18.2,7.1,3.4,-9.2,96.8,104.8,0.518,0.75,0.445,0.275,0.806,45.9,22.7,15.6,8.4,3.6,3.6,108.2,104.3,0.558,0,0.1,0.1,1483.8724934897475,1499.970849807001
0.0,0.425,0.376,0.85,43.3,23.4,17.5,4.5,3.4,-11.7,99.3,111.0,0.522,0.25,0.423,0.326,0.855,43.1,18.0,15.3,9.0,3.2,-8.5,98.5,106.5,0.512,1,0.0,0.0,1481.0934742558666,1471.171580799979
0.75,0.444,0.44,0.823,52.9,18.9,15.1,7.4,6.5,18.1,111.9,94.3,0.559,1.0,0.464,0.386,0.75,50.7,22.9,13.1,11.8,2.9,24.8,111.1,86.6,0.555,0,0.2,0.2,1520.8635149791978,1533.2876127427128
0.75,0.489,0.34,0.807,39.0,22.6,14.6,8.2,4.6,0.3,107.9,106.6,0.582,0.5,0.435,0.364,0.705,46.6,22.4,15.1,9.6,4.5,5.0,103.5,99.5,0.535,0,0.2,0.2,1495.0413961254114,1524.905331455975
0.25,0.426,0.389,0.708,45.0,18.8,14.4,8.2,3.1,-4.9,99.5,104.9,0.499,0.25,0.452,0.341,0.74,44.4,20.1,17.3,7.4,6.7,-5.5,101.4,106.2,0.554,0,0.1,0.1,1491.924300802022,1491.8452120734191
0.75,0.443,0.349,0.754,41.4,18.0,14.6,7.6,4.2,5.5,105.7,100.3,0.557,0.2,0.419,0.372,0.713,39.9,21.7,13.3,7.4,3.1,-9.8,101.4,111.0,0.529,1,0.2,0.1,1509.5765031752155,1466.348412962356
0.5,0.431,0.325,0.736,50.5,16.8,16.5,4.3,4.3,3.5,100.8,98.2,0.543,0.8,0.452,0.281,0.821,44.9,22.7,16.3,9.0,5.5,3.1,108.0,104.5,0.568,0,0.2,0.2,1515.3107363913437,1504.5643245018246
0.4,0.461,0.374,0.774,39.6,22.6,15.2,7.5,3.0,-9.6,106.1,114.9,0.551,0.5,0.453,0.333,0.675,41.6,23.6,17.5,11.4,6.3,7.1,106.3,99.2,0.538,1,0.2,0.1,1472.678874169796,1499.4784507046966
0.2,0.418,0.342,0.854,43.2,19.1,14.5,9.4,3.6,-8.0,97.8,105.1,0.509,0.25,0.439,0.351,0.714,49.0,23.3,19.0,5.6,2.1,-3.8,99.7,103.1,0.522,0,0.0,0.1,1465.748886879773,1491.8177234050193
0.6,0.512,0.422,0.853,43.0,28.5,16.4,7.1,7.5,6.2,115.6,110.1,0.64,0.75,0.45,0.284,0.806,40.6,21.2,13.4,10.4,5.9,2.6,104.5,102.1,0.546,1,0.3,0.2,1531.8859816018476,1508.8330597774975
0.0,0.429,0.242,0.72,42.3,20.3,18.6,7.6,2.7,-15.8,96.2,112.0,0.504,0.6,0.459,0.364,0.782,42.6,21.2,15.6,9.5,4.3,1.7,112.6,110.8,0.571,1,0.0,0.3,1479.822350308041,1514.7959466484626
0.5,0.464,0.323,0.717,41.8,21.9,17.4,7.2,4.7,-4.1,98.9,102.5,0.539,0.5,0.457,0.306,0.87,42.7,23.3,15.3,8.7,5.8,10.2,110.2,100.0,0.577,0,0.2,0.1,1500.048205652937,1507.714043505629
0.75,0.48,0.455,0.837,44.3,24.1,14.5,7.7,5.5,6.5,114.7,107.7,0.598,1.0,0.463,0.343,0.75,52.3,21.9,14.3,6.8,7.6,10.2,107.3,97.1,0.533,1,0.2,0.3,1521.220221247732,1534.8701417198151
0.8,0.437,0.336,0.776,42.7,18.1,15.4,7.5,4.6,5.4,104.6,99.2,0.557,0.833,0.451,0.303,0.823,46.2,22.5,16.4,8.4,5.6,5.3,108.9,103.2,0.574,1,0.3,0.3,1514.2547867955077,1521.9436720687172
0.4,0.46,0.355,0.74,44.8,20.5,16.8,6.9,6.0,-2.9,103.7,106.0,0.562,0.6,0.476,0.349,0.786,45.5,22.0,16.5,5.1,4.9,0.6,109.1,109.0,0.577,1,0.2,0.2,1502.706992303682,1498.0462293640635
0.167,0.405,0.359,0.732,42.4,21.5,13.5,7.9,3.1,-9.1,100.3,109.2,0.514,0.2,0.428,0.358,0.686,44.7,22.9,17.8,8.4,4.1,-7.6,98.4,105.3,0.517,0,0.1,0.1,1461.670129342064,1479.2790187949242
0.4,0.465,0.313,0.807,41.4,23.4,19.5,9.3,7.0,-2.3,97.5,100.4,0.551,0.4,0.463,0.287,0.716,42.8,21.4,17.9,7.1,4.9,-4.9,96.9,101.6,0.534,1,0.1,0.2,1483.8193929324248,1488.6833527208823
0.5,0.467,0.354,0.746,40.6,22.8,13.8,7.5,5.8,-2.3,106.5,109.6,0.556,0.6,0.433,0.365,0.732,46.4,22.2,15.3,9.1,4.4,5.4,102.2,98.0,0.537,0,0.2,0.3,1495.376914841488,1534.0434248465442
1.0,0.465,0.371,0.71,50.9,20.5,13.2,10.1,3.5,19.5,112.4,92.7,0.556,0.6,0.463,0.343,0.783,42.1,22.2,13.9,8.7,2.2,4.4,107.3,103.0,0.546,0,0.3,0.2,1537.935746874267,1501.568375796831
0.25,0.409,0.336,0.812,49.1,23.0,17.5,4.7,3.7,-7.6,99.2,107.1,0.506,0.4,0.462,0.325,0.722,40.5,22.8,16.9,10.8,6.9,5.1,109.0,103.7,0.55,0,0.1,0.1,1486.5161681760726,1494.4558825760748
0.6,0.433,0.443,0.83,52.0,19.2,14.4,7.1,6.1,14.6,112.1,98.4,0.551,0.4,0.433,0.333,0.746,41.4,15.9,17.2,7.4,5.7,-15.3,96.0,110.9,0.527,1,0.2,0.2,1516.215380847644,1484.8865466053485
0.4,0.419,0.336,0.705,49.6,16.7,15.1,4.6,4.4,-0.4,100.0,101.2,0.526,0.8,0.498,0.459,0.797,44.6,23.7,15.2,8.0,5.8,10.5,114.8,103.5,0.605,1,0.2,0.3,1497.931388824451,1538.4678223129915
0.667,0.507,0.393,0.86,44.1,28.9,16.5,7.0,8.3,5.6,115.0,110.0,0.628,0.667,0.455,0.339,0.76,43.7,21.2,13.8,9.1,2.9,5.1,105.7,101.0,0.536,0,0.4,0.3,1535.9540556348325,1513.6719008354582
0.5,0.451,0.364,0.774,41.6,20.8,15.7,8.8,3.8,-1.9,109.0,110.9,0.563,0.4,0.443,0.328,0.72,48.6,23.8,17.6,6.1,2.5,-2.0,101.2,103.5,0.521,0,0.3,0.2,1499.0626551020157,1499.5588376789558
0.5,0.474,0.354,0.779,44.0,21.4,16.7,5.6,4.4,-3.2,107.6,111.2,0.576,0.25,0.434,0.269,0.696,46.0,20.2,17.1,7.5,3.6,-6.5,100.0,106.2,0.505,0,0.2,0.1,1484.245243611849,1495.555641854488
0.167,0.418,0.359,0.87,43.6,19.9,14.2,9.0,3.7,-7.5,99.0,105.5,0.513,0.6,0.483,0.36,0.775,38.8,22.6,15.2,7.8,4.3,-1.2,104.7,104.7,0.573,0,0.0,0.2,1458.0077726058364,1485.9033027348423
0.4,0.485,0.328,0.758,41.6,20.6,14.2,8.4,4.1,-1.6,110.9,112.9,0.569,0.8,0.437,0.298,0.774,51.5,21.2,15.1,7.0,7.6,2.5,102.9,100.8,0.512,1,0.1,0.3,1487.926122658123,1517.6225406545557
0.2,0.434,0.382,0.767,42.7,20.0,14.1,8.0,3.5,-5.5,100.6,106.6,0.514,0.6,0.449,0.328,0.795,40.1,22.6,13.6,9.6,5.8,1.5,105.5,104.2,0.547,0,0.1,0.2,1481.062520571759,1504.7649857445126
0.833,0.443,0.353,0.774,43.0,19.7,14.4,8.0,4.9,7.0,105.2,98.3,0.559,0.5,0.443,0.335,0.681,50.6,18.9,15.3,4.8,4.8,0.8,102.2,102.3,0.535,0,0.4,0.3,1524.9357714333366,1505.915392160587
0.5,0.466,0.333,0.792,43.5,22.9,20.4,9.4,6.8,0.7,99.0,98.6,0.553,0.143,0.419,0.378,0.739,41.3,21.7,14.2,7.8,2.9,-8.1,102.3,110.4,0.533,1,0.2,0.1,1494.868366057616,1456.2057023831658
0.667,0.434,0.439,0.828,51.6,20.3,14.3,7.2,6.2,13.1,111.1,99.0,0.551,0.6,0.451,0.295,0.844,41.9,23.9,15.0,9.3,5.4,9.9,107.8,97.7,0.56,0,0.3,0.2,1522.116248281961,1519.0788964376836
